start,end,screencap,film scene / beat description,truth level,truth int,fiction type ,film (condensed),in reality (condensed notes),in reality (long notes),source name,source link,source link,source link
00:00:00,00:00:21,00:00:16,Columbia productions image. ,-,,-,,-,-,,,,
00:00:21,00:02:06,00:01:22,College-age ZUCKERBERG having a drink in a bar with his girlfriend ERICA.,FALSE,0,,Zuckerberg out drinking with his GF.,Erica didn't exist.,"There wasn't an Erica. Zuckerberg had been dating Priscilla Chan, his current girlfriend, at the time. ",The Guardian,http://www.theguardian.com/film/2010/oct/20/mark-zuckerberg-the-social-network,,
00:02:06,00:02:35,00:02:06,ZUCKERBERG claims to have gotten 1600 SAT.,TRUE,3,,He claims to have scored 1600 on his SAT.,Zuckerberg did score a perfect 1600 on his test.,Zuckerberg did score a perfect 1600 on his test.,Rolling Stone,http://www.rollingstone.com/culture/news/the-battle-for-facebook-20100915?page=2,,
00:02:35,00:03:21,00:02:51,Obssesed with joining a Final Club. Wishes he rowed crew so he could get in.,FALSE,0,,He's obsessed with joining a Final Club.,Zuckerberg was obsessed with computers!,"Zuckerberg did actually row for a crew team at his boarding school, Exeter. But he was obsessed with computers!",Business Insider,http://www.businessinsider.com/is-the-social-network-true-2010-10?IR=T#the-movie-starts-with-a-falsehood-that-mark-zuckerberg-never-rowed-for-a-crew-team-actually-he-did-back-at-exeter-the-super-elite-boarding-school-he-went-to-5,,
00:03:21,00:03:40,00:00:38,"He comes across as a highly intelligent, pedantic, condescending ass. ",TRUE-ISH,2,character development,Zuckerberg is being an ass. ,Zuckerberg had no social skills. ,Zuckerberg was renowned for his terrible social skills. ,NYT,http://nymag.com/news/features/mark-zuckerberg-2012-5/index4.html,,
00:03:40,00:05:24,00:03:58,ERICA breaks up with ZUCKERBERG because dating him 'is like dating a stairmaster' - hard work. He isn't happy about it. ,FALSE,0,character development,Erica breaks up with Zuck.,Zuckerberg was dating his current girlfriend throughout.,"There wasn't an Erica. Zuckerberg had been dating Priscilla Chan, his current girlfriend, at the time. ",The Guardian,http://www.theguardian.com/film/2010/oct/20/mark-zuckerberg-the-social-network,,
00:05:24,00:07:51,00:06:53,ZUCKERBERG hurries from the bar to Harvard University through the frozen streets. (credits run over this scene),TRUE-ISH,2,,Zuckerberg flees the bar,Zuckerberg lived at Kirkland House.,"Zuckerberg lived at Harvard's Kirkland house, reasonable to assume he hurried from a bar to his dorm on occasion when it was cold out.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:07:51,00:08:40,00:08:22,ZUCKERBERG gets into his dorm room at Kirkland House & immediately pens a nasty personal post about ERICA on 'Live Journal' to 'Zuckonit'.,TRUE,3,,Zuckeberg pens a nasty blogpost about Erica,Zuckerberg called Jessica Alona a bitch on his blog.,"Zuckerberg & his roommates did reside in Kirkland house, Suite H33. Zuckerberg did blog about a girl at the time, somebody called Jessica Alona. He called her a bitch as in the film, the transcript is available online. ",Slash Film,http://www.slashfilm.com/the-truth-behind-the-social-network/,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,
00:08:40,00:08:50,00:08:49,"Later that night, ZUCKERBERG penning another post. Writes he needs an idea to take his mind off her. ",TRUE,3,,Zuckeberg pens another nasty blogpost about Erica,That was exactly what he wrote. ,That was exactly what he wrote. ,Slash Film,http://www.slashfilm.com/the-truth-behind-the-social-network/,,
00:08:50,00:09:13,00:09:13,"ZUCKERBERG looking at the Kirkland House Face Book. OLSEN shows up, he has the idea of putting the Face Book pictures next to pictures of farm animals & having people vote on who's hotter. ZUCKERBERG likes the idea.  ",TRUE,3,,Zuckerbergs has an ideas for a headshot comparison website.,Zuckerberg got the idea of a headshot comparison site from Kirkland Face Book.,"Zuckerberg came up with the idea of comparing people with farm animals, Olsen suggested comparing two people, with the occasional farm animal thrown in for fun. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p43-44.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:09:13,00:09:44,00:09:34,"ZUCKERBERG developing the photo comparison idea, throws out farm animals but considers pitching two people's photos against one another for votes. Starts hacking Havard college houses for photos. ",TRUE,3,,He starts hacking together FaceMash,Zuckerberg created Facemash without animals.,"Zuckerberg did create Facemash without farm animals in the end, & hacked the college face books for photos.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p44. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:09:44,00:10:00,00:09:52,"Cut to bus pulling up on a street outside, filled with college girls dressed to party. ",TRUE,3,,Busload of college girls dressed ot party.,The 'fuck truck' ferried students to/from parties. ,The all-male Phoenix Club brought in beautiful girls from schools in the area to entertain them at parties. There was a bus known as the 'fuck truck' that travelled around campus & to local schools shuttling students to & from parties. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p7, 72.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:10:00,00:10:00,00:10:03,Cut back to ZUCKERBERG - hacks & downloads Kirkland House Face Book photo files.,TRUE,3,,Zuck hacks Kirkland House's server.,Kirkland was an easy hack.,Kirkland was easy to hack because they kept everything open.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p45-49.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
