start,end,length,shot
0:00:00,0:00:21,0:00:21,1
0:00:21,0:02:06,0:01:45,2
0:02:06,0:02:35,0:00:29,3
0:02:35,0:03:21,0:00:46,4
0:03:21,0:03:40,0:00:19,5
0:03:40,0:05:24,0:01:44,6
0:05:24,0:07:51,0:02:27,7
0:07:51,0:08:40,0:00:49,8
0:08:40,0:08:50,0:00:10,9
0:08:50,0:09:13,0:00:23,10
0:09:13,0:09:44,0:00:31,11
0:09:44,0:10:00,0:00:16,12
0:10:00,0:10:00,0:00:00,13
0:10:00,0:10:27,0:00:27,14
0:10:27,0:10:40,0:00:13,15
0:10:40,0:11:00,0:00:20,16
0:11:00,0:11:54,0:00:54,17
0:11:54,0:12:47,0:00:53,18
0:12:47,0:13:02,0:00:15,19
0:13:02,0:13:06,0:00:04,20
0:13:06,0:13:16,0:00:10,21
0:13:16,0:14:00,0:00:44,22
0:14:00,0:14:27,0:00:27,23
0:14:27,0:14:49,0:00:22,24
0:14:49,0:15:10,0:00:21,25
0:15:10,0:15:45,0:00:35,26
0:15:45,0:16:18,0:00:33,27
0:16:18,0:17:00,0:00:42,28
0:17:00,0:17:15,0:00:15,29
0:17:15,0:17:58,0:00:43,30
0:17:58,0:18:45,0:00:47,31
0:18:45,0:18:57,0:00:12,32
0:18:57,0:19:20,0:00:23,33
0:19:20,0:19:53,0:00:33,34
0:19:53,0:20:16,0:00:23,35
0:20:16,0:20:44,0:00:28,36
0:20:44,0:21:30,0:00:46,37
0:21:30,0:22:12,0:00:42,38
0:22:12,0:22:21,0:00:09,39
0:22:21,0:23:07,0:00:46,40
0:23:07,0:24:20,0:01:13,41
0:24:20,0:25:07,0:00:47,42
0:25:07,0:26:39,0:01:32,43
0:26:39,0:27:30,0:00:51,44
0:27:30,0:27:55,0:00:25,45
0:27:55,0:28:01,0:00:06,46
0:28:01,0:28:06,0:00:05,47
0:28:06,0:28:09,0:00:03,48
0:28:09,0:28:16,0:00:07,49
0:28:16,0:28:22,0:00:06,50
0:28:22,0:28:31,0:00:09,51
0:28:31,0:28:56,0:00:25,52
