{,,,,
SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,TypeShot type,yaxis
1,87,87,Other,0
2,27,114,Other,0
3,67,181,Other,0
4,23,204,Other,0
5,37,241,Other,0
6,35,276,Other,0
7,33,309,Other,0
8,20,329,Other,0
9,50,379,Other,0
10,20,399,Other,0
11,55,454,Other,0
12,9,463,Other,0
13,55,518,Other,0
14,112,630,Other,0
15,48,678,Other,0
16,23,701,Other,0
17,59,760,Other,0
18,48,808,Other,0
19,73,881,Other,0
20,46,927,Other,0
21,32,959,Other,0
22,68,1027,Other,0
23,89,1116,Other,0
24,35,1151,Other,0
25,76,1227,Other,0
26,53,1280,Other,0
27,30,1310,Other,0
28,34,1344,Other,0
29,12,1356,Other,0
30,24,1380,Other,0
31,24,1404,Other,0
32,72,1476,Other,0
33,8,1484,Other,0
34,99,1583,Other,0
35,24,1607,Other,0
36,15,1622,Other,0
37,63,1685,Other,0
38,13,1698,Other,0
39,128,1826,Other,0
40,46,1872,Other,0
41,38,1910,Other,0
42,54,1964,Other,0
43,24,1988,Other,0
44,73,2061,Other,0
45,20,2081,Other,0
46,31,2112,Other,0
47,27,2139,Other,0
48,17,2156,Other,0
49,25,2181,Other,0
50,15,2196,Other,0
51,59,2255,Other,0
52,16,2271,Other,0
53,41,2312,Other,0
54,41,2353,Other,0
55,51,2404,Other,0
56,23,2427,Other,0
57,37,2464,Other,0
58,20,2484,Other,0
59,86,2570,Other,0
60,28,2598,Other,0
61,14,2612,Other,0
62,111,2723,Other,0
63,33,2756,Other,0
64,67,2823,Other,0
65,18,2841,Other,0
66,22,2863,Other,0
67,18,2881,Other,0
68,40,2921,Other,0
69,54,2975,Other,0
70,133,3108,Other,0
71,46,3154,Other,0
72,42,3196,Other,0
73,26,3222,Other,0
74,25,3247,Other,0
75,24,3271,Other,0
76,23,3294,Other,0
77,20,3314,Other,0
78,14,3328,Other,0
79,33,3361,Other,0
80,37,3398,Other,0
81,27,3425,Other,0
82,13,3438,Other,0
83,31,3469,Other,0
84,31,3500,Other,0
85,25,3525,Other,0
86,13,3538,Other,0
87,11,3549,Other,0
88,12,3561,Other,0
89,19,3580,Other,0
90,16,3596,Other,0
91,12,3608,Other,0
92,23,3631,Other,0
93,27,3658,Other,0
94,32,3690,Other,0
95,13,3703,Other,0
96,17,3720,Other,0
97,85,3805,Other,0
98,25,3830,Other,0
99,103,3933,Other,0
100,11,3944,Other,0
101,143,4087,Other,0
102,90,4177,Other,0
103,25,4202,Other,0
104,23,4225,Other,0
105,121,4346,Other,0
106,26,4372,Other,0
107,41,4413,Other,0
108,42,4455,Other,0
109,14,4469,Other,0
110,30,4499,Other,0
111,22,4521,Other,0
112,14,4535,Other,0
113,37,4572,Other,0
114,42,4614,Other,0
115,27,4641,Other,0
116,41,4682,Other,0
117,60,4742,Other,0
118,10,4752,Other,0
119,21,4773,Other,0
120,25,4798,Other,0
121,16,4814,Other,0
122,51,4865,Other,0
123,95,4960,Other,0
124,50,5010,Other,0
125,21,5031,Other,0
126,23,5054,Other,0
127,15,5069,Other,0
128,17,5086,Other,0
129,8,5094,Other,0
130,5,5099,Other,0
131,6,5105,Other,0
132,23,5128,Other,0
133,14,5142,Other,0
134,10,5152,Other,0
135,16,5168,Other,0
136,55,5223,Other,0
137,10,5233,Other,0
138,17,5250,Other,0
139,7,5257,Other,0
140,8,5265,Other,0
141,27,5292,Other,0
142,50,5342,Other,0
143,67,5409,Other,0
144,17,5426,Other,0
145,10,5436,Other,0
146,6,5442,Other,0
147,11,5453,Other,0
148,26,5479,Other,0
149,10,5489,Other,0
150,45,5534,Other,0
151,22,5556,Other,0
152,15,5571,Other,0
153,14,5585,Other,0
154,13,5598,Other,0
155,20,5618,Other,0
156,11,5629,Other,0
157,7,5636,Other,0
158,15,5651,Other,0
159,30,5681,Other,0
160,21,5702,Other,0
161,14,5716,Other,0
162,21,5737,Other,0
163,25,5762,Other,0
164,37,5799,Other,0
165,45,5844,Other,0
166,69,5913,Other,0
167,17,5930,Other,0
168,24,5954,Other,0
169,13,5967,Other,0
170,19,5986,Other,0
171,18,6004,Other,0
172,16,6020,Other,0
173,29,6049,Other,0
174,14,6063,Other,0
175,31,6094,Other,0
176,20,6114,Other,0
177,13,6127,Other,0
178,40,6167,Other,0
179,45,6212,Other,0
180,19,6231,Other,0
181,21,6252,Other,0
182,27,6279,Other,0
183,26,6305,Other,0
184,20,6325,Other,0
185,48,6373,Other,0
186,21,6394,Other,0
187,26,6420,Other,0
188,59,6479,Other,0
189,134,6613,Other,0
190,38,6651,Other,0
191,32,6683,Other,0
192,38,6721,Other,0
193,60,6781,Other,0
194,37,6818,Other,0
195,7,6825,Other,0
196,5,6830,Other,0
197,11,6841,Other,0
198,29,6870,Other,0
199,58,6928,Other,0
200,4,6932,Other,0
201,16,6948,Other,0
202,13,6961,Other,0
203,21,6982,Other,0
204,21,7003,Other,0
205,28,7031,Other,0
206,12,7043,Other,0
207,15,7058,Other,0
208,22,7080,Other,0
209,26,7106,Other,0
210,10,7116,Other,0
211,21,7137,Other,0
212,27,7164,Other,0
213,8,7172,Other,0
214,23,7195,Other,0
215,23,7218,Other,0
216,16,7234,Other,0
217,38,7272,Other,0
218,17,7289,Other,0
219,41,7330,Other,0
220,17,7347,Other,0
221,15,7362,Other,0
222,53,7415,Other,0
223,23,7438,Other,0
224,28,7466,Other,0
225,27,7493,Other,0
