SNShot number,SLShot length in deciseconds,TCTimecode of the shot's end in deciseconds,Yaxis
1,58,58,0
2,60,118,0
3,75,193,0
4,25,218,0
5,25,243,0
6,41,284,0
7,34,318,0
8,26,344,0
9,15,359,0
10,41,400,0
11,11,411,0
12,9,420,0
13,6,426,0
14,16,442,0
15,16,458,0
16,18,476,0
17,10,486,0
18,17,503,0
19,29,532,0
20,26,558,0
21,14,572,0
22,41,613,0
23,47,660,0
24,28,688,0
25,49,737,0
26,11,748,0
27,14,762,0
28,9,771,0
29,5,776,0
30,4,780,0
31,5,785,0
32,7,792,0
33,5,797,0
34,5,802,0
35,6,808,0
36,5,813,0
37,11,824,0
38,4,828,0
39,5,833,0
40,5,838,0
41,6,844,0
42,5,849,0
43,5,854,0
44,5,859,0
45,4,863,0
46,5,868,0
47,15,883,0
48,9,892,0
49,12,904,0
50,10,914,0
51,10,924,0
52,22,946,0
53,27,973,0
54,13,986,0
55,72,1058,0
56,56,1114,0
57,55,1169,0
58,15,1184,0
59,29,1213,0
60,17,1230,0
61,9,1239,0
62,9,1248,0
63,7,1255,0
64,19,1274,0
65,6,1280,0
66,5,1285,0
67,8,1293,0
68,5,1298,0
69,5,1303,0
70,32,1335,0
71,12,1347,0
72,15,1362,0
73,30,1392,0
74,18,1410,0
75,13,1423,0
76,7,1430,0
77,6,1436,0
78,6,1442,0
79,5,1447,0
80,5,1452,0
81,9,1461,0
82,5,1466,0
83,6,1472,0
84,13,1485,0
85,8,1493,0
86,5,1498,0
87,15,1513,0
88,5,1518,0
89,5,1523,0
90,16,1539,0
91,25,1564,0
92,6,1570,0
93,7,1577,0
94,10,1587,0
95,8,1595,0
96,12,1607,0
97,20,1627,0
98,16,1643,0
99,3,1646,0
100,5,1651,0
101,4,1655,0
102,5,1660,0
103,4,1664,0
104,4,1668,0
105,10,1678,0
106,3,1681,0
107,4,1685,0
108,5,1690,0
109,6,1696,0
110,4,1700,0
111,5,1705,0
112,5,1710,0
113,5,1715,0
114,8,1723,0
115,10,1733,0
116,8,1741,0
117,8,1749,0
118,6,1755,0
119,4,1759,0
120,5,1764,0
121,7,1771,0
122,4,1775,0
123,5,1780,0
124,7,1787,0
125,8,1795,0
126,6,1801,0
127,6,1807,0
128,6,1813,0
129,7,1820,0
130,10,1830,0
131,10,1840,0
132,6,1846,0
133,9,1855,0
134,5,1860,0
135,9,1869,0
136,9,1878,0
137,8,1886,0
138,3,1889,0
139,5,1894,0
140,5,1899,0
141,10,1909,0
142,10,1919,0
143,18,1937,0
144,5,1942,0
145,7,1949,0
146,6,1955,0
147,5,1960,0
148,13,1973,0
149,12,1985,0
150,8,1993,0
151,10,2003,0
152,10,2013,0
153,6,2019,0
154,5,2024,0
155,5,2029,0
156,6,2035,0
157,5,2040,0
158,8,2048,0
159,6,2054,0
160,7,2061,0
161,10,2071,0
162,9,2080,0
163,5,2085,0
164,9,2094,0
165,6,2100,0
166,7,2107,0
167,10,2117,0
168,10,2127,0
169,38,2165,0
170,13,2178,0
171,7,2185,0
172,8,2193,0
173,9,2202,0
174,11,2213,0
175,5,2218,0
176,13,2231,0
177,6,2237,0
178,11,2248,0
179,7,2255,0
180,16,2271,0
181,9,2280,0
182,16,2296,0
183,11,2307,0
184,11,2318,0
185,11,2329,0
186,18,2347,0
187,5,2352,0
188,7,2359,0
189,5,2364,0
190,4,2368,0
191,5,2373,0
192,5,2378,0
193,10,2388,0
194,11,2399,0
195,14,2413,0
196,7,2420,0
197,15,2435,0
198,54,2489,0
199,5,2494,0
200,6,2500,0
201,5,2505,0
202,5,2510,0
203,6,2516,0
204,6,2522,0
205,5,2527,0
206,7,2534,0
207,10,2544,0
208,7,2551,0
209,8,2559,0
210,7,2566,0
211,4,2570,0
212,8,2578,0
213,10,2588,0
214,5,2593,0
215,10,2603,0
216,5,2608,0
217,9,2617,0
218,6,2623,0
219,20,2643,0
220,23,2666,0
221,15,2681,0
222,7,2688,0
223,14,2702,0
224,18,2720,0
225,23,2743,0
226,11,2754,0
227,16,2770,0
228,5,2775,0
229,8,2783,0
230,8,2791,0
231,28,2819,0
232,5,2824,0
233,5,2829,0
234,6,2835,0
235,8,2843,0
236,8,2851,0
237,7,2858,0
238,10,2868,0
239,24,2892,0
240,27,2919,0
241,17,2936,0
242,15,2951,0
243,32,2983,0
244,15,2998,0
245,22,3020,0
246,10,3030,0
247,18,3048,0
248,9,3057,0
249,10,3067,0
250,8,3075,0
251,11,3086,0
252,7,3093,0
253,14,3107,0
254,21,3128,0
255,24,3152,0
256,25,3177,0
257,30,3207,0
258,17,3224,0
259,19,3243,0
260,58,3301,0
261,44,3345,0
262,35,3380,0
263,61,3441,0
264,62,3503,0
265,23,3526,0
266,27,3553,0
267,51,3604,0
268,11,3615,0
269,21,3636,0
270,15,3651,0
271,30,3681,0
272,50,3731,0
273,39,3770,0
274,52,3822,0
275,90,3912,0
276,40,3952,0
277,18,3970,0
278,32,4002,0
279,38,4040,0
280,79,4119,0
281,34,4153,0
282,39,4192,0
283,29,4221,0
284,32,4253,0
285,29,4282,0
286,13,4295,0
287,29,4324,0
288,7,4331,0
289,7,4338,0
290,24,4362,0
291,25,4387,0
292,13,4400,0
293,13,4413,0
294,14,4427,0
295,16,4443,0
296,30,4473,0
297,17,4490,0
298,62,4552,0
299,69,4621,0
300,32,4653,0
301,15,4668,0
302,30,4698,0
303,17,4715,0
304,23,4738,0
305,13,4751,0
306,18,4769,0
307,34,4803,0
308,9,4812,0
309,5,4817,0
310,6,4823,0
311,7,4830,0
312,17,4847,0
313,10,4857,0
314,21,4878,0
315,17,4895,0
316,16,4911,0
317,15,4926,0
318,17,4943,0
319,33,4976,0
320,28,5004,0
321,25,5029,0
322,10,5039,0
323,6,5045,0
324,7,5052,0
325,15,5067,0
326,11,5078,0
327,5,5083,0
328,4,5087,0
329,8,5095,0
330,3,5098,0
331,5,5103,0
332,4,5107,0
333,5,5112,0
334,5,5117,0
335,6,5123,0
336,5,5128,0
337,5,5133,0
338,5,5138,0
339,4,5142,0
340,42,5184,0
341,19,5203,0
342,30,5233,0
343,21,5254,0
344,50,5304,0
345,28,5332,0
346,22,5354,0
347,15,5369,0
348,26,5395,0
349,26,5421,0
350,24,5445,0
351,12,5457,0
352,19,5476,0
353,25,5501,0
354,24,5525,0
355,32,5557,0
356,24,5581,0
357,52,5633,0
358,33,5666,0
359,27,5693,0
360,34,5727,0
361,33,5760,0
362,24,5784,0
363,29,5813,0
364,16,5829,0
365,20,5849,0
366,25,5874,0
367,45,5919,0
368,31,5950,0
369,7,5957,0
370,21,5978,0
371,19,5997,0
372,16,6013,0
373,11,6024,0
374,25,6049,0
375,37,6086,0
376,10,6096,0
377,20,6116,0
378,38,6154,0
379,13,6167,0
380,8,6175,0
381,13,6188,0
382,16,6204,0
383,59,6263,0
384,12,6275,0
385,21,6296,0
386,19,6315,0
387,6,6321,0
388,5,6326,0
389,7,6333,0
390,5,6338,0
391,3,6341,0
392,4,6345,0
393,16,6361,0
394,4,6365,0
395,5,6370,0
396,10,6380,0
397,12,6392,0
398,51,6443,0
399,10,6453,0
400,18,6471,0
401,7,6478,0
402,7,6485,0
403,12,6497,0
404,7,6504,0
405,22,6526,0
406,8,6534,0
407,32,6566,0
408,11,6577,0
409,16,6593,0
410,16,6609,0
411,24,6633,0
412,10,6643,0
413,21,6664,0
414,42,6706,0
415,25,6731,0
416,13,6744,0
417,21,6765,0
418,22,6787,0
419,12,6799,0
420,22,6821,0
421,115,6936,0
422,36,6972,0
423,17,6989,0
424,17,7006,0
425,15,7021,0
426,13,7034,0
427,10,7044,0
428,9,7053,0
429,18,7071,0
430,13,7084,0
431,55,7139,0
432,25,7164,0
433,17,7181,0
434,31,7212,0
435,8,7220,0
436,28,7248,0
437,19,7267,0
438,6,7273,0
439,5,7278,0
440,7,7285,0
441,25,7310,0
442,21,7331,0
443,26,7357,0
444,19,7376,0
445,6,7382,0
446,17,7399,0
447,8,7407,0
448,25,7432,0
449,17,7449,0
450,19,7468,0
451,10,7478,0
452,42,7520,0
453,11,7531,0
454,13,7544,0
455,11,7555,0
456,4,7559,0
457,7,7566,0
458,5,7571,0
459,4,7575,0
460,5,7580,0
461,5,7585,0
462,4,7589,0
463,6,7595,0
464,5,7600,0
465,6,7606,0
466,6,7612,0
467,5,7617,0
468,10,7627,0
469,12,7639,0
470,8,7647,0
471,15,7662,0
472,5,7667,0
473,5,7672,0
474,5,7677,0
475,10,7687,0
476,6,7693,0
477,7,7700,0
478,6,7706,0
479,10,7716,0
480,7,7723,0
481,8,7731,0
482,9,7740,0
483,12,7752,0
484,8,7760,0
485,12,7772,0
486,4,7776,0
487,22,7798,0
488,28,7826,0
489,10,7836,0
490,17,7853,0
491,29,7882,0
492,55,7937,0
493,5,7942,0
494,11,7953,0
495,31,7984,0
496,20,8004,0
497,12,8016,0
498,21,8037,0
499,50,8087,0
500,14,8101,0
501,25,8126,0
502,15,8141,0
503,37,8178,0
504,20,8198,0
505,16,8214,0
506,16,8230,0
507,12,8242,0
508,7,8249,0
509,6,8255,0
510,27,8282,0
511,8,8290,0
512,19,8309,0
513,22,8331,0
514,22,8353,0
515,22,8375,0
516,6,8381,0
517,5,8386,0
518,13,8399,0
519,9,8408,0
520,11,8419,0
521,15,8434,0
522,47,8481,0
523,31,8512,0
524,19,8531,0
525,9,8540,0
526,8,8548,0
527,28,8576,0
528,46,8622,0
529,25,8647,0
530,16,8663,0
531,14,8677,0
532,11,8688,0
533,15,8703,0
534,18,8721,0
535,18,8739,0
536,38,8777,0
537,7,8784,0
538,21,8805,0
539,13,8818,0
540,17,8835,0
541,21,8856,0
542,32,8888,0
543,13,8901,0
544,31,8932,0
545,17,8949,0
546,11,8960,0
547,15,8975,0
548,15,8990,0
549,10,9000,0
550,41,9041,0
551,21,9062,0
552,50,9112,0
553,15,9127,0
554,27,9154,0
555,32,9186,0
556,21,9207,0
557,15,9222,0
558,11,9233,0
559,14,9247,0
560,12,9259,0
561,19,9278,0
562,10,9288,0
563,5,9293,0
564,5,9298,0
565,5,9303,0
566,6,9309,0
567,11,9320,0
568,7,9327,0
569,5,9332,0
570,5,9337,0
571,6,9343,0
572,5,9348,0
573,4,9352,0
574,3,9355,0
575,8,9363,0
576,10,9373,0
577,21,9394,0
578,9,9403,0
579,8,9411,0
580,7,9418,0
581,8,9426,0
582,5,9431,0
583,5,9436,0
584,19,9455,0
585,19,9474,0
586,151,9625,0
587,41,9666,0
588,6,9672,0
589,6,9678,0
590,4,9682,0
591,5,9687,0
592,10,9697,0
593,4,9701,0
594,5,9706,0
595,5,9711,0
596,5,9716,0
597,3,9719,0
598,5,9724,0
599,9,9733,0
600,6,9739,0
601,14,9753,0
602,16,9769,0
603,4,9773,0
604,5,9778,0
605,5,9783,0
606,6,9789,0
607,19,9808,0
608,26,9834,0
609,29,9863,0
610,5,9868,0
611,6,9874,0
612,103,9977,0
613,12,9989,0
614,6,9995,0
615,6,10001,0
616,13,10014,0
617,51,10065,0
618,12,10077,0
619,30,10107,0
620,29,10136,0
621,17,10153,0
622,26,10179,0
623,155,10334,0
624,13,10347,0
625,10,10357,0
626,17,10374,0
627,18,10392,0
628,20,10412,0
629,16,10428,0
630,68,10496,0
631,17,10513,0
632,43,10556,0
633,24,10580,0
634,43,10623,0
635,27,10650,0
636,39,10689,0
637,15,10704,0
638,14,10718,0
639,15,10733,0
640,18,10751,0
641,8,10759,0
642,12,10771,0
643,11,10782,0
644,20,10802,0
645,13,10815,0
646,11,10826,0
647,11,10837,0
648,23,10860,0
649,6,10866,0
650,6,10872,0
651,6,10878,0
652,5,10883,0
653,4,10887,0
654,4,10891,0
655,12,10903,0
656,12,10915,0
657,7,10922,0
658,6,10928,0
659,14,10942,0
660,21,10963,0
661,12,10975,0
662,18,10993,0
663,10,11003,0
664,6,11009,0
665,15,11024,0
666,21,11045,0
667,15,11060,0
668,14,11074,0
669,9,11083,0
670,5,11088,0
671,6,11094,0
672,10,11104,0
673,5,11109,0
674,6,11115,0
675,9,11124,0
676,9,11133,0
677,11,11144,0
678,6,11150,0
679,6,11156,0
680,9,11165,0
681,8,11173,0
682,7,11180,0
683,8,11188,0
684,5,11193,0
685,5,11198,0
686,3,11201,0
687,5,11206,0
688,4,11210,0
689,5,11215,0
690,5,11220,0
691,7,11227,0
692,3,11230,0
693,6,11236,0
694,26,11262,0
695,4,11266,0
696,5,11271,0
697,4,11275,0
698,6,11281,0
699,5,11286,0
700,5,11291,0
701,6,11297,0
702,5,11302,0
703,5,11307,0
704,4,11311,0
705,10,11321,0
706,4,11325,0
707,8,11333,0
708,7,11340,0
709,2,11342,0
710,5,11347,0
711,8,11355,0
712,5,11360,0
713,3,11363,0
714,5,11368,0
715,4,11372,0
716,6,11378,0
717,5,11383,0
718,4,11387,0
719,5,11392,0
720,5,11397,0
721,14,11411,0
722,6,11417,0
723,15,11432,0
724,10,11442,0
725,16,11458,0
726,16,11474,0
727,14,11488,0
728,12,11500,0
729,18,11518,0
730,6,11524,0
731,6,11530,0
732,5,11535,0
733,5,11540,0
734,9,11549,0
735,6,11555,0
736,5,11560,0
737,5,11565,0
738,6,11571,0
739,7,11578,0
740,16,11594,0
741,5,11599,0
742,4,11603,0
743,11,11614,0
744,14,11628,0
745,5,11633,0
746,5,11638,0
747,5,11643,0
748,5,11648,0
749,7,11655,0
750,8,11663,0
751,5,11668,0
752,5,11673,0
753,6,11679,0
754,6,11685,0
755,5,11690,0
756,5,11695,0
757,7,11702,0
758,6,11708,0
759,2,11710,0
760,5,11715,0
761,5,11720,0
762,6,11726,0
763,5,11731,0
764,4,11735,0
765,5,11740,0
766,5,11745,0
767,7,11752,0
768,9,11761,0
769,13,11774,0
770,11,11785,0
771,17,11802,0
772,18,11820,0
773,23,11843,0
774,8,11851,0
775,9,11860,0
776,8,11868,0
777,19,11887,0
778,11,11898,0
779,8,11906,0
780,47,11953,0
781,4,11957,0
782,5,11962,0
783,4,11966,0
784,7,11973,0
785,5,11978,0
786,9,11987,0
787,20,12007,0
788,15,12022,0
789,7,12029,0
790,5,12034,0
791,4,12038,0
792,5,12043,0
793,5,12048,0
794,7,12055,0
795,5,12060,0
796,8,12068,0
797,5,12073,0
798,9,12082,0
799,8,12090,0
800,12,12102,0
801,6,12108,0
802,6,12114,0
803,10,12124,0
804,24,12148,0
805,12,12160,0
806,8,12168,0
807,7,12175,0
808,5,12180,0
809,49,12229,0
810,21,12250,0
811,46,12296,0
812,6,12302,0
813,20,12322,0
814,3,12325,0
815,3,12328,0
816,8,12336,0
817,4,12340,0
818,5,12345,0
819,12,12357,0
820,8,12365,0
821,17,12382,0
822,14,12396,0
823,20,12416,0
824,13,12429,0
825,8,12437,0
826,6,12443,0
827,9,12452,0
828,12,12464,0
829,10,12474,0
830,14,12488,0
831,11,12499,0
832,9,12508,0
833,14,12522,0
834,8,12530,0
835,5,12535,0
836,15,12550,0
837,40,12590,0
838,5,12595,0
839,4,12599,0
840,11,12610,0
841,13,12623,0
842,8,12631,0
843,7,12638,0
844,5,12643,0
845,6,12649,0
846,4,12653,0
847,3,12656,0
848,8,12664,0
849,16,12680,0
850,5,12685,0
851,6,12691,0
852,10,12701,0
853,18,12719,0
854,5,12724,0
855,6,12730,0
856,7,12737,0
857,9,12746,0
858,16,12762,0
859,7,12769,0
860,7,12776,0
861,16,12792,0
862,12,12804,0
863,13,12817,0
864,7,12824,0
865,7,12831,0
866,22,12853,0
867,10,12863,0
868,14,12877,0
869,13,12890,0
870,6,12896,0
871,22,12918,0
872,5,12923,0
873,8,12931,0
874,17,12948,0
875,10,12958,0
876,31,12989,0
877,38,13027,0
878,11,13038,0
879,35,13073,0
880,8,13081,0
881,7,13088,0
882,6,13094,0
883,5,13099,0
884,12,13111,0
885,9,13120,0
886,19,13139,0
887,42,13181,0
888,45,13226,0
889,72,13298,0
890,38,13336,0
891,10,13346,0
892,6,13352,0
893,16,13368,0
894,16,13384,0
895,8,13392,0
896,5,13397,0
897,17,13414,0
898,25,13439,0
899,26,13465,0
900,14,13479,0
901,18,13497,0
902,29,13526,0
903,12,13538,0
904,154,13692,0
905,29,13721,0
906,11,13732,0
907,20,13752,0
908,71,13823,0
909,58,13881,0
910,166,14047,0
911,12,14059,0
912,6,14065,0
913,13,14078,0
914,11,14089,0
915,5,14094,0
916,14,14108,0
917,8,14116,0
918,5,14121,0
919,50,14171,0
920,28,14199,0
921,18,14217,0
922,16,14233,0
923,19,14252,0
924,15,14267,0
925,13,14280,0
926,15,14295,0
927,16,14311,0
928,48,14359,0
929,14,14373,0
930,18,14391,0
931,5,14396,0
932,6,14402,0
933,5,14407,0
934,5,14412,0
935,11,14423,0
936,6,14429,0
937,15,14444,0
938,5,14449,0
939,10,14459,0
940,7,14466,0
941,10,14476,0
942,12,14488,0
943,12,14500,0
944,9,14509,0
945,22,14531,0
946,15,14546,0
947,20,14566,0
948,34,14600,0
949,21,14621,0
950,20,14641,0
951,29,14670,0
952,36,14706,0
953,72,14778,0
954,27,14805,0
955,6,14811,0
956,41,14852,0
957,40,14892,0
958,7,14899,0
959,8,14907,0
960,47,14954,0
961,60,15014,0
962,14,15028,0
963,13,15041,0
964,15,15056,0
965,9,15065,0
966,9,15074,0
967,8,15082,0
968,27,15109,0
969,5,15114,0
970,13,15127,0
971,5,15132,0
972,5,15137,0
973,5,15142,0
974,7,15149,0
975,3,15152,0
976,12,15164,0
977,15,15179,0
978,29,15208,0
979,22,15230,0
980,13,15243,0
981,10,15253,0
982,23,15276,0
983,5,15281,0
984,14,15295,0
985,98,15393,0
986,8,15401,0
987,17,15418,0
988,11,15429,0
989,9,15438,0
990,17,15455,0
991,30,15485,0
992,43,15528,0
993,21,15549,0
994,18,15567,0
995,30,15597,0
996,11,15608,0
997,35,15643,0
998,13,15656,0
999,13,15669,0
1000,7,15676,0
1001,3,15679,0
1002,12,15691,0
1003,11,15702,0
1004,11,15713,0
1005,46,15759,0
1006,21,15780,0
1007,30,15810,0
1008,8,15818,0
1009,7,15825,0
1010,11,15836,0
1011,15,15851,0
1012,13,15864,0
1013,11,15875,0
1014,15,15890,0
1015,17,15907,0
1016,25,15932,0
1017,40,15972,0
1018,12,15984,0
1019,13,15997,0
1020,44,16041,0
1021,22,16063,0
1022,22,16085,0
1023,8,16093,0
1024,33,16126,0
1025,29,16155,0
1026,62,16217,0
1027,21,16238,0
1028,21,16259,0
1029,21,16280,0
1030,7,16287,0
1031,12,16299,0
1032,10,16309,0
1033,11,16320,0
1034,10,16330,0
1035,12,16342,0
1036,49,16391,0
1037,9,16400,0
1038,35,16435,0
1039,15,16450,0
1040,12,16462,0
1041,18,16480,0
1042,31,16511,0
1043,55,16566,0
1044,21,16587,0
1045,16,16603,0
1046,15,16618,0
1047,38,16656,0
1048,33,16689,0
1049,40,16729,0
1050,29,16758,0
1051,14,16772,0
1052,31,16803,0
1053,37,16840,0
1054,32,16872,0
1055,7,16879,0
1056,80,16959,0
1057,31,16990,0
1058,23,17013,0
1059,19,17032,0
1060,15,17047,0
1061,13,17060,0
1062,17,17077,0
1063,23,17100,0
1064,88,17188,0
1065,24,17212,0
1066,25,17237,0
1067,66,17303,0
1068,78,17381,0
1069,120,17501,0
1070,29,17530,0
1071,15,17545,0
1072,84,17629,0
1073,10,17639,0
1074,38,17677,0
1075,12,17689,0
1076,58,17747,0
1077,9,17756,0
1078,14,17770,0
1079,15,17785,0
1080,16,17801,0
1081,9,17810,0
1082,7,17817,0
1083,23,17840,0
1084,15,17855,0
1085,22,17877,0
1086,14,17891,0
1087,24,17915,0
1088,18,17933,0
1089,9,17942,0
1090,44,17986,0
1091,16,18002,0
1092,12,18014,0
1093,8,18022,0
1094,11,18033,0
1095,18,18051,0
1096,29,18080,0
1097,27,18107,0
1098,13,18120,0
1099,22,18142,0
1100,73,18215,0
1101,9,18224,0
1102,6,18230,0
1103,17,18247,0
1104,25,18272,0
1105,22,18294,0
1106,87,18381,0
1107,19,18400,0
1108,11,18411,0
1109,7,18418,0
1110,15,18433,0
1111,25,18458,0
1112,18,18476,0
1113,7,18483,0
1114,6,18489,0
1115,5,18494,0
1116,8,18502,0
1117,10,18512,0
1118,9,18521,0
1119,33,18554,0
1120,8,18562,0
1121,70,18632,0
1122,27,18659,0
1123,33,18692,0
1124,30,18722,0
1125,26,18748,0
1126,14,18762,0
1127,8,18770,0
1128,9,18779,0
1129,20,18799,0
1130,15,18814,0
1131,12,18826,0
1132,8,18834,0
1133,5,18839,0
1134,6,18845,0
1135,41,18886,0
1136,95,18981,0
1137,17,18998,0
1138,12,19010,0
1139,3,19013,0
1140,5,19018,0
1141,4,19022,0
1142,4,19026,0
1143,7,19033,0
1144,23,19056,0
1145,9,19065,0
1146,6,19071,0
1147,6,19077,0
1148,6,19083,0
1149,6,19089,0
1150,8,19097,0
1151,5,19102,0
1152,17,19119,0
1153,13,19132,0
1154,19,19151,0
1155,10,19161,0
1156,11,19172,0
1157,15,19187,0
1158,13,19200,0
1159,22,19222,0
1160,16,19238,0
1161,32,19270,0
1162,23,19293,0
1163,6,19299,0
1164,6,19305,0
1165,5,19310,0
1166,6,19316,0
1167,7,19323,0
1168,8,19331,0
1169,7,19338,0
1170,13,19351,0
1171,13,19364,0
1172,11,19375,0
1173,5,19380,0
1174,10,19390,0
1175,9,19399,0
1176,27,19426,0
1177,26,19452,0
1178,8,19460,0
1179,8,19468,0
1180,8,19476,0
1181,5,19481,0
1182,5,19486,0
1183,32,19518,0
1184,20,19538,0
1185,10,19548,0
1186,8,19556,0
1187,8,19564,0
1188,30,19594,0
1189,12,19606,0
1190,21,19627,0
1191,21,19648,0
1192,14,19662,0
1193,17,19679,0
1194,5,19684,0
1195,6,19690,0
1196,7,19697,0
1197,6,19703,0
1198,5,19708,0
1199,6,19714,0
1200,7,19721,0
1201,5,19726,0
1202,10,19736,0
1203,5,19741,0
1204,8,19749,0
1205,6,19755,0
1206,8,19763,0
1207,8,19771,0
1208,8,19779,0
1209,6,19785,0
1210,11,19796,0
1211,25,19821,0
1212,5,19826,0
1213,9,19835,0
1214,7,19842,0
1215,27,19869,0
1216,6,19875,0
1217,10,19885,0
1218,13,19898,0
1219,15,19913,0
1220,15,19928,0
1221,7,19935,0
1222,7,19942,0
1223,9,19951,0
1224,10,19961,0
1225,9,19970,0
1226,8,19978,0
1227,7,19985,0
1228,5,19990,0
1229,7,19997,0
1230,9,20006,0
1231,16,20022,0
1232,6,20028,0
1233,5,20033,0
1234,18,20051,0
1235,7,20058,0
1236,8,20066,0
1237,12,20078,0
1238,6,20084,0
1239,8,20092,0
1240,11,20103,0
1241,11,20114,0
1242,6,20120,0
1243,20,20140,0
1244,9,20149,0
1245,8,20157,0
1246,8,20165,0
1247,7,20172,0
1248,7,20179,0
1249,10,20189,0
1250,6,20195,0
1251,8,20203,0
1252,18,20221,0
1253,8,20229,0
1254,6,20235,0
1255,5,20240,0
1256,8,20248,0
1257,8,20256,0
1258,5,20261,0
1259,5,20266,0
1260,6,20272,0
1261,5,20277,0
1262,5,20282,0
1263,5,20287,0
1264,7,20294,0
1265,6,20300,0
1266,5,20305,0
1267,5,20310,0
1268,7,20317,0
1269,5,20322,0
1270,7,20329,0
1271,7,20336,0
1272,13,20349,0
1273,6,20355,0
1274,5,20360,0
1275,7,20367,0
1276,9,20376,0
1277,8,20384,0
1278,9,20393,0
1279,8,20401,0
1280,7,20408,0
1281,19,20427,0
1282,9,20436,0
1283,9,20445,0
1284,5,20450,0
1285,7,20457,0
1286,16,20473,0
1287,8,20481,0
1288,7,20488,0
1289,13,20501,0
1290,7,20508,0
1291,5,20513,0
1292,5,20518,0
1293,8,20526,0
1294,10,20536,0
1295,10,20546,0
1296,6,20552,0
1297,7,20559,0
1298,9,20568,0
1299,7,20575,0
1300,9,20584,0
1301,10,20594,0
1302,5,20599,0
1303,5,20604,0
1304,17,20621,0
1305,13,20634,0
1306,21,20655,0
1307,13,20668,0
1308,22,20690,0
1309,20,20710,0
1310,9,20719,0
1311,10,20729,0
1312,7,20736,0
1313,16,20752,0
1314,10,20762,0
1315,40,20802,0
1316,20,20822,0
1317,13,20835,0
1318,19,20854,0
1319,9,20863,0
1320,14,20877,0
1321,8,20885,0
1322,9,20894,0
1323,8,20902,0
1324,10,20912,0
1325,10,20922,0
1326,7,20929,0
1327,6,20935,0
1328,10,20945,0
1329,13,20958,0
1330,11,20969,0
1331,20,20989,0
1332,5,20994,0
1333,19,21013,0
1334,7,21020,0
1335,6,21026,0
1336,11,21037,0
1337,10,21047,0
1338,12,21059,0
1339,8,21067,0
1340,8,21075,0
1341,6,21081,0
1342,33,21114,0
1343,17,21131,0
1344,26,21157,0
1345,25,21182,0
1346,5,21187,0
1347,6,21193,0
1348,5,21198,0
1349,5,21203,0
1350,9,21212,0
1351,9,21221,0
1352,12,21233,0
1353,10,21243,0
1354,9,21252,0
1355,6,21258,0
1356,13,21271,0
1357,11,21282,0
1358,9,21291,0
1359,6,21297,0
1360,5,21302,0
1361,9,21311,0
1362,6,21317,0
1363,6,21323,0
